Artwork Title,Type,Edt Size,Mint Date,Platform,Collection Name,Collaborator/Special Type,Link,Contract Hash,Token Type,TokenID Start,Token ID End,IPFS Image,IPFS Json,Pinned?,Hosting Type,Image link
Self-Assemblage,Unique,1,11/6/23,Christie's,,,https://opensea.io/assets/ethereum/0x9494fa95d7987718da9ecef224f8520f5fa20fe3/9,,ERC-721,,,Arweave,,,Arweave,https://i2.seadn.io/ethereum/0x9494fa95d7987718da9ecef224f8520f5fa20fe3/9d98e5a2a674b76d33dac88cdafb76/f79d98e5a2a674b76d33dac88cdafb76.gif?w=350
Gm&Gns,Edition,100,1/4/24,6259 Memes Labs,,,https://opensea.io/assets/ethereum/0x4db52a61dc491e15a2f78f5ac001c14ffe3568cb/47,,ERC-1155,,,Arweave,,,Arweave,https://i2.seadn.io/ethereum/0x4db52a61dc491e15a2f78f5ac001c14ffe3568cb/07615c553eaa0186b6a808bab99e71/ed07615c553eaa0186b6a808bab99e71.jpeg?w=1000
Fig 1: Identitfication,Edition,25,3/1/24,Manifold,,Morrow / Art Dubai,https://opensea.io/assets/ethereum/0x2c8868ace2fd20644c3dd1414141fd85bba41e47/1,,ERC-1155,,,Arweave,,,Arweave,https://i2.seadn.io/ethereum/0x2c8868ace2fd20644c3dd1414141fd85bba41e47/e68a192925434f7c5747c6b7c9955e94.gif?w=350
Fig 2: Art,Edition,25,3/1/24,Manifold,,Morrow / Art Dubai,https://opensea.io/assets/ethereum/0x2c8868ace2fd20644c3dd1414141fd85bba41e47/2,,ERC-1155,,,Arweave,,,Arweave,https://i2.seadn.io/ethereum/0x2c8868ace2fd20644c3dd1414141fd85bba41e47/12e77b881d6c31588a426d9db9ca9130.gif?w=350
Fig 3: Collectible,Edition,25,3/1/24,Manifold,,Morrow / Art Dubai,https://opensea.io/assets/ethereum/0x2c8868ace2fd20644c3dd1414141fd85bba41e47/3,,ERC-1155,,,Arweave,,,Arweave,https://i2.seadn.io/ethereum/0x2c8868ace2fd20644c3dd1414141fd85bba41e47/2e8954ab80d9fc71e1b835e6a77b920f.gif?w=350
Fig 4: Generative,Edition,25,3/1/24,Manifold,,Morrow / Art Dubai,https://opensea.io/assets/ethereum/0x2c8868ace2fd20644c3dd1414141fd85bba41e47/4,,ERC-1155,,,Arweave,,,Arweave,https://i2.seadn.io/ethereum/0x2c8868ace2fd20644c3dd1414141fd85bba41e47/e7b6f2398d8224539f345837acca3e61.gif?w=350
CopyCat,Edition,50,3/12/24,Foundation,,SuperChief,https://opensea.io/collection/copycatbybrinkman,0x2d0514d64621d3850b6397200b02f14aeabc6d19,ERC-721,,,Arweave,,,Arweave,https://i2.seadn.io/ethereum/0x2d0514d64621d3850b6397200b02f14aeabc6d19/1112313543d862f4e95b28248dd0b9f7.mp4?frame-time=1&w=350
Right Click Savior,Edition,100,4/25/24,ClickCreate,,,https://opensea.io/assets/ethereum/0x300e7a5fb0ab08af367d5fb3915930791bb08c2b/60,0x300e7a5fb0ab08af367d5fb3915930791bb08c2b,ERC-1155,60,60,Arweave,,,Arweave,https://i2.seadn.io/ethereum/0x300e7a5fb0ab08af367d5fb3915930791bb08c2b/19a7df57d04b9ec3f01c8e031865e4/df19a7df57d04b9ec3f01c8e031865e4.jpeg?w=1000
Battery Life,Edition,100,5/2/24,Transient Labs,,Digital Dreams KC,https://opensea.io/assets/base/0x658e4dad7e206f662692bf913db33cf7a213565e/1,,ERC-1155,,,Arweave,,,Arweave,https://i2.seadn.io/base/0x658e4dad7e206f662692bf913db33cf7a213565e/094f92d3eee84c57e64806f7d5ecbc/82094f92d3eee84c57e64806f7d5ecbc.gif?w=350
PreCycle,Unique,1,5/9/24,Ensemble,,,https://opensea.io/collection/bryan-brinkman-sketches,,ERC-721,,,Arweave,,,Arweave,https://i2.seadn.io/ethereum/0x57ac8098b4194d57e6432fba1cff3d5214e2aec3/d82f449ed6c29dcbcba4f598cb75ec14.jpeg?w=1000
